candidate,threshold,selected_on,oof_precision,oof_recall,oof_f1,oof_specificity,oof_sensitivity,test_precision,test_recall,test_f1,test_specificity,test_sensitivity
threshold_0.5,0.5,calibrated_oof(train only),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
F1_max,0.067,calibrated_oof(train only),0.10659186535764376,0.3848101265822785,0.16694124107633168,0.842716049382716,0.3848101265822785,0.12427745664739884,0.43434343434343436,0.19325842696629214,0.8503703703703703,0.43434343434343436
Youden_J,0.0391,calibrated_oof(train only),0.06838201205377839,0.7468354430379747,0.12529199405393926,0.5038271604938271,0.7468354430379747,0.06962025316455696,0.7777777777777778,0.12780082987551866,0.4918518518518519,0.7777777777777778
Recall_priority,0.0457,calibrated_oof(train only),0.07036186099942562,0.620253164556962,0.1263863812225948,0.6003703703703703,0.620253164556962,0.0750816104461371,0.696969696969697,0.13555992141453832,0.5802469135802469,0.696969696969697
